Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
758757,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758732,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758731,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758666,9,4,0,5,2,70.16,70.11,35.92,34.23,204.76,204.92,0,6,122.8
758654,27,20,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758645,3,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758643,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758635,1,1,0,1,1,-8.03,-8.06,-8.03,0.0,0.0,0.0,0,1,10.5
758634,8,7,0,2,1,-24.18,-24.0,-24.18,0.0,0.0,0.0,0,1,26.0
758616,5,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758608,15,13,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758606,43,21,0,4,2,-7.01,-6.09,-7.01,0.0,0.0,0.0,0,4,42.06
758590,5,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758586,16,12,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758581,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758564,65,28,0,6,5,46.07,58.68,22.44,23.63,248.29,194.97,0,10,310.44
758561,27,15,0,4,1,-31.79,-31.94,-31.79,0.0,0.0,0.0,0,1,17.5
758526,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758522,26,9,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758516,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758474,5,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758415,9,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758403,6,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758362,5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758342,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758338,20,9,0,3,2,4.73,4.57,2.42,2.3,197.96,204.92,0,3,56.01
