Month,Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
2024-11,436711,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,436594,117,50,0,16,4,127.98,140.07,66.55,61.43,228.02,208.33,0,7,661.88
2024-11,436593,4,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,436534,9,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,436446,47,28,0,7,1,9.96,9.97,5.18,4.78,208.53,208.33,0,1,9.97
2024-11,436395,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,436257,512,281,0,110,7,-8.06,107.45,-11.62,3.56,3016.98,-226.3,0,7,107.45
2024-11,436158,20,9,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,436134,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,436111,12,12,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,436102,546,319,0,70,17,265.1,775.1,89.18,175.92,440.58,150.69,0,26,888.27
2024-11,436096,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,436092,34,14,0,2,1,0.0,10.32,0.0,0.0,0.0,0.0,0,1,10.32
2024-11,436032,18,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435779,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435758,4,2,0,1,1,10.59,10.39,5.5,5.08,204.41,208.33,0,1,10.39
2024-11,435756,1,1,0,1,1,-9.55,-8.72,-9.55,0.0,0.0,0.0,0,2,26.94
2024-11,435754,1,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435750,5,5,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435734,27,16,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435721,17,16,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435702,10,5,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435541,142,85,0,24,12,1461.53,1676.94,729.63,731.89,229.12,199.69,0,38,2704.3
